[2026-06-25 11:39:33] type=system_error | user=- | role=- | page=Standard input code | ip=CLI | message=test technical message
[2026-06-25 11:39:33] type=404 | user=- | role=- | page=Standard input code | ip=CLI | message=error_page_displayed
[2026-06-25 11:39:44] type=system_error | user=- | role=- | page=get_test.php | ip=CLI | message=ajax technical test
[2026-06-25 11:42:55] type=404 | user=bettioui hajar | role=formateur | page=/STAGE/codex%20vers/sp%20-%20Server%20v1/tableau_bord_formateure.php | ip=::1 | message=error_page_displayed
[2026-06-25 11:43:14] type=404 | user=- | role=- | page=/STAGE/codex%20vers/sp%20-%20Server%20v1/indexr.php | ip=::1 | message=error_page_displayed
[2026-06-25 11:43:40] type=404 | user=Hamza Bourkha | role=directeur | page=/STAGE/codex%20vers/sp%20-%20Server%20v1/edition_etats.php | ip=::1 | message=error_page_displayed
[2026-06-25 11:45:26] type=404 | user=- | role=- | page=/STAGE/codex%20vers/sp%20-%20Server%20v1/index.phpt | ip=::1 | message=error_page_displayed
[2026-06-25 13:00:47] type=system_error | user=bettioui hajar | role=formateur | page=/STAGE/codex%20vers/sp%20-%20Server%20v1/supprimer_seance.php?seance_id=1562&unite_nom= | ip=::1 | message=mysqli_sql_exception: Cannot delete or update a parent row: a foreign key constraint fails (`epim_gestion_codex`.`suivi_pedagogique`, CONSTRAINT `suivi_pedagogique_ibfk_1` FOREIGN KEY (`seance_id`) REFERENCES `seances_pedagogiques` (`id`)) in C:\xampp\htdocs\STAGE\codex vers\sp - Server v1\supprimer_seance.php:44
[2026-06-25 13:00:47] type=system_error | user=bettioui hajar | role=formateur | page=/STAGE/codex%20vers/sp%20-%20Server%20v1/error.php?type=system_error | ip=::1 | message=error_page_displayed
[2026-06-25 13:01:14] type=system_error | user=bettioui hajar | role=formateur | page=/STAGE/codex%20vers/sp%20-%20Server%20v1/supprimer_seance.php?seance_id=1562&unite_nom= | ip=::1 | message=mysqli_sql_exception: Cannot delete or update a parent row: a foreign key constraint fails (`epim_gestion_codex`.`suivi_pedagogique`, CONSTRAINT `suivi_pedagogique_ibfk_1` FOREIGN KEY (`seance_id`) REFERENCES `seances_pedagogiques` (`id`)) in C:\xampp\htdocs\STAGE\codex vers\sp - Server v1\supprimer_seance.php:44
[2026-06-25 13:01:14] type=system_error | user=bettioui hajar | role=formateur | page=/STAGE/codex%20vers/sp%20-%20Server%20v1/error.php?type=system_error | ip=::1 | message=error_page_displayed
